componente_usado
score_N_DEFICIT_PAREDES
score_N_HACINAMIENTO_CRITICO
score_N_DEFICIT_CUANTITATIVO
score_N_HACINAMIENTO_MITIGABLE
score_N_DEFICIT_PISOS
score_N_DEFICIT_COCINA
score_N_DEFICIT_AGUA
score_N_DEFICIT_RECOLECCION
score_N_HACINAMIENTOMIT_JER
score_N_DEFICIT_CUALITATIVO
score_N_DEFICIT_HABITACIONAL
score_N_INFORMAL
score_N_ANALFABETA
score_N_INASISTENCIA
score_N_DESEMPLEO_LD
score_N_EMPLEO_INFORMAL
score_N_HACINAMIENTO
score_N_POBRE_IPM
score_N_POBRE_MONETARIO
score_N_POBRE_EXTREMO
score_N_SIN_CP
score_N_OCUPADOS
score_N_DESOCUPADOS
score_N_SALUD
score_N_ACCESO_SALUD
score_N_ACCESO_AGUA
score_N_INGTOT_PER
score_N_INGTOTUG_PER
score_N_INGTOT
score_N_INGPC
score_N_INGTOTUG
score_N_INGPCUG
score_N_INGTOTUGARR
score_N_INGPCUGARR
score_N_GM_SALUD_HOG
score_N_GM_SALUD_HOG_PER_CAPITA
