CODIGO_LOCALIDAD,NOMBRE_LOCALIDAD,total_predios,predios_obligados,oportunos,extemporaneos,morosos,no_declaran,total_pagado,anio_gravable,tasa_pago_oportuno,tasa_morosidad,tasa_extemporaneidad,pago_promedio_por_predio_obligado
0,NO REGISTRA,168,154,280.0,30.0,27,97,4154310000.0,2023,181.8181818181818,17.532467532467532,19.480519480519483,26976038.961038962
1,USAQUÉN,377694,373312,3265430.0,85390.0,38379,3611,6730213040000.0,2023,874.718733927653,10.280676752957312,22.873628493056746,18028386.550660037
2,CHAPINERO,182721,180524,1584320.0,39760.0,17780,1857,5427359852000.0,2023,877.6229199441625,9.849105936052824,22.02477232944096,30064478.14141056
3,SANTA FE,70102,67402,559310.0,15270.0,8888,1701,1032541150000.0,2023,829.8121717456455,13.1865523278241,22.655114091569985,15319147.057950802
4,SAN CRISTÓBAL,93693,88105,699020.0,26530.0,13340,2999,329399950000.0,2023,793.3942455025255,15.141024913455537,30.11179842233698,3738720.276942285
5,USME,94804,90192,692580.0,27120.0,16781,1940,177933920000.0,2023,767.8951569984034,18.60586304772042,30.0691857370942,1972834.8412276034
6,TUNJUELITO,33938,33038,287120.0,6500.0,3814,243,382430140000.0,2023,869.0598704522065,11.544282341546099,19.6743144258127,11575462.800411647
7,BOSA,170827,166098,1397920.0,51520.0,20996,1212,564238370000.0,2023,841.623619790726,12.640730171344627,31.017832845669425,3397020.8551577986
8,KENNEDY,297246,290808,2522870.0,69490.0,31904,2431,2516556620000.0,2023,867.5380319661082,10.970812357294161,23.895491183186156,8653670.531759787
9,FONTIBÓN,169332,166778,1470580.0,36180.0,16735,1206,3040835800000.0,2023,881.7589849980212,10.034297089544184,21.69350873616424,18232835.266042285
10,ENGATIVA,234385,228840,2025290.0,45900.0,23025,1577,2763235340000.0,2023,885.0244712462857,10.061615102254851,20.05768222338752,12074966.526830973
11,SUBA,509053,499522,4411290.0,110950.0,48449,3674,5811031280000.0,2023,883.1022457469342,9.699072313131353,22.211233939646302,11633183.883792905
12,BARRIOS UNIDOS,60751,58480,514070.0,11800.0,6091,491,1570449420000.0,2023,879.0526675786595,10.415526675786593,20.177838577291382,26854470.24623803
13,TEUSAQUILLO,90306,89035,796210.0,16710.0,7713,926,2127301710000.0,2023,894.2662997697533,8.662885382153087,18.767900263941147,23892870.331891954
14,LOS MÁRTIRES,38006,37131,300860.0,9250.0,5862,668,904485700000.0,2023,810.2663542592444,15.787347499394036,24.911798766529316,24359314.31957125
15,ANTONIO NARIÑO,24246,23645,202310.0,4390.0,3097,196,549159730000.0,2023,855.6142947769084,13.097906534150983,18.566293085218863,23225194.755762316
16,PUENTE ARANDA,73652,71938,616610.0,17130.0,8765,590,2092156910000.0,2023,857.1408713058468,12.184102977564013,23.812171592204397,29082778.36470294
17,LA CANDELARIA,15269,14329,108690.0,3580.0,2305,1087,249022300000.0,2023,758.5316491032173,16.086258636331916,24.984297578337635,17378902.924139857
18,RAFAEL URIBE,82110,79470,660170.0,21280.0,11214,731,503540150000.0,2023,830.7159934566503,14.110985277463195,26.777400276834022,6336229.394740153
19,CIUDAD BOLIVAR,156835,147099,1082410.0,41770.0,31052,4994,530474620000.0,2023,735.837769121476,21.109592859230858,28.395842255895687,3606242.190633519
20,SUMAPAZ,1738,1648,9010.0,340.0,611,108,1547500000.0,2023,546.7233009708738,37.0752427184466,20.631067961165048,939016.9902912622
