NOMBRE_LOCALIDAD,propuestas,poblacion_beneficiada
ANTONIO NARIÑO,126,0
BARRIOS UNIDOS,105,1016
BOSA,184,6040
CHAPINERO,236,0
CIUDAD BOLÍVAR,139,0
ENGATIVÁ,137,513
FONTIBÓN,287,0
KENNEDY,197,0
LA CANDELARIA,232,48810
LOS MÁRTIRES,150,5133
PUENTE ARANDA,94,0
RAFAEL URIBE URIBE,387,1685
SAN CRISTÓBAL,232,10996
SANTA FE,184,0
SUBA,592,7350
SUMAPAZ,125,6769
TEUSAQUILLO,137,8633
TUNJUELITO,106,292770
USAQUÉN,102,9669
USME,206,156
